# lambda               TRANSMISSION   
  2907.070989631367    9.034732E-6    
  2892.8901927025963   1.0782362E-5   
  2878.847073054819    1.29151185E-5  
  2864.939439679227    1.5529187E-5   
  2851.1657288887463   1.8747665E-5   
  2837.523823595392    2.2729428E-5   
  2824.0118408684343   2.7680377E-5   
  2810.6279334724204   3.386956E-5    
  2797.3701024560914   4.1651077E-5   
  2784.2369443587936   5.149394E-5    
  2771.2265257324157   6.402585E-5    
  2758.3371339376818   8.009235E-5    
  2745.5670880507755   1.0188934E-4   
  2745.177862720425    1.5223987E-4   
  2743.9185786459057   3.15684E-4     
  2742.660449373988    4.595052E-4    
  2741.403473316914    5.699823E-4    
  2740.147827904273    6.36554E-4     
  2738.8931533613495   6.528518E-4    
  2737.6396272876545   6.173336E-4    
  2736.3872481070293   5.334537E-4    
  2735.1360142461954   4.0935355E-4   
  2733.885924134754    2.5709774E-4   
  2732.9145600619677   1.2682992E-4   
  2732.637154239607    9.152876E-5    
  2721.44793895107     1.0930543E-5   
  2720.378288077298    1.6440116E-4   
  2720.2103269314443   1.86951E-4     
  2718.9738400388173   3.616745E-4    
  2717.738476739588    5.1864237E-4   
  2716.504411441445    6.4304296E-4   
  2715.2712905796493   7.231476E-4    
  2714.039288727355    7.514568E-4    
  2712.808404362066    7.254436E-4    
  2711.578635964046    6.478208E-4    
  2710.349982016316    5.2630476E-4   
  2709.1226159882585   3.7289516E-4   
  2707.9565022917177   2.0950672E-4   
  2707.8961862427536   2.0273865E-4   
  2706.670866413275    3.2683598E-5   
  2696.9082580109857   7.9871184E-5   
  2695.692859823848    2.659245E-4    
  2695.647641533899    2.744806E-4    
  2694.47855661451     4.5379013E-4   
  2693.2655198450834   6.26072E-4     
  2692.0534020011787   7.668143E-4    
  2690.842374706067    8.630478E-4    
  2689.632436488652    9.0605597E-4   
  2688.4235858804795   8.922371E-4    
  2687.215821415737    8.2347775E-4   
  2686.0093136417995   7.0699834E-4   
  2684.8037169226263   5.546846E-4    
  2683.599201965424    3.819652E-4    
  2683.450172888932    3.581167E-4    
  2682.3957673148757   2.0634252E-4   
  2681.1934115182726   4.5716548E-5   
  2674.002022123245    5.757298E-5    
  2672.807177694065    2.3371988E-4   
  2671.6134005906038   4.3303493E-4   
  2671.3625910619267   4.7794371E-4   
  2670.420859403173    6.3771434E-4   
  2669.229212513539    8.293891E-4    
  2668.038628669019    9.908949E-4    
  2666.8491064477626   0.0011079351   
  2665.660644430457    0.0011704757   
  2664.473241200316    0.0011737373   
  2663.2868953430784   0.0011186844   
  2662.1017744091296   0.0010119654   
  2660.9175389146844   8.65303E-4     
  2659.73435656564     6.9439335E-4   
  2659.383249141485    6.397196E-4    
  2658.5522259577715   5.1741605E-4   
  2657.371145689349    3.5329701E-4   
  2656.1911143611314   2.198907E-4    
  2655.0122986397623   1.3225558E-4   
  2653.834360855072    1.0119039E-4   
  2652.65746782795     1.32173E-4     
  2651.4816181690576   2.2480651E-4   
  2650.3068104915224   3.7282883E-4   
  2649.133043410927    5.6468736E-4   
  2647.9604827171233   7.846271E-4    
  2647.511033968122    8.7422226E-4   
  2646.788792539045    0.0010141896   
  2645.618138819538    0.0012339808   
  2644.448520183958    0.0014255397   
  2643.2799352600905   0.0015731266   
  2642.1123826781454   0.0016652604   
  2640.945861070752    0.0016958539   
  2639.78053521353     0.0016648367   
  2638.616071316233    0.001578202    
  2637.4526343060306   0.0014474702   
  2636.2902228251746   0.0012886169   
  2635.74434931777     0.001207639    
  2635.128835518309    0.0011205666   
  2633.9684710324655   9.6339325E-4   
  2632.8092932812933   8.3640026E-4   
  2631.6509702427275   7.562636E-4    
  2630.493665980743    7.354169E-4    
  2629.3373791518684   7.808357E-4    
  2628.1821084149933   8.933401E-4    
  2627.027852431362    0.0010674857   
  2625.8747742593773   0.0012920575   
  2624.7225436311287   0.0015511218   
  2624.081794346458    0.0017048626   
  2623.5713237541345   0.0018255409   
  2622.4211132990126   0.0020948038   
  2621.2719109387112   0.0023390038   
  2620.123715348502    0.002540769    
  2618.9765252059783   0.0026869655   
  2617.8305025801615   0.0027700032   
  2616.6853192321228   0.0027886187   
  2615.541137378606    0.0027480575   
  2614.3979557064326   0.0026596333   
  2613.25577290472     0.0025397018   
  2612.52199289463     0.0024531514   
  2612.114587664875    0.002408144    
  2610.9745612150095   0.0022865043   
  2609.8353670404545   0.0021959515   
  2608.6971665158617   0.0021552676   
  2607.559958341747    0.0021790485   
  2606.4237412208913   0.002276293    
  2605.2885138583356   0.0024495206   
  2604.1544366477933   0.002694503    
  2603.0211847852834   0.0030006405   
  2601.88891880989     0.0033519536   
  2601.0634316429732   0.0036270157   
  2600.7576374356454   0.0037285981   
  2599.627339378816    0.004108765    
  2598.4980233578995   0.0044707875   
  2597.36968809362     0.004795253    
  2596.2424930143607   0.005066927    
  2595.116115294991    0.005276297    
  2593.990714507917    0.0054205917   
  2592.866289382717    0.0055041737   
  2591.7428386511706   0.0055382634   
  2590.6203610472558   0.005540015    
  2589.70510620232     0.0055315983   
  2578.4455485478916   0.008784965    
  2567.283475984541    0.014730825    
  2556.217627932497    0.026735287    
  2545.246765452788    0.05951725     
  2534.369517647879    0.12983187     
  2523.58499505939     0.2721989      
  2512.891866489199    0.37374938     
  2502.288975054035    0.37829468     
  2491.775183313992    0.52146393     
  2481.3492260691983   0.58861697     
  2471.010443946063    0.44443005     
  2460.7571706746407   0.4596052      
  2450.5886361692355   0.5552895      
  2440.504078267356    0.57528526     
  2430.501897612706    0.5615114      
  2420.5816477345193   0.6548226      
  2410.7417718277015   0.8612023      
  2400.9815719416238   0.7686184      
  2391.300356913054    0.59563756     
  2381.696630864688    0.62050444     
  2372.170003827774    0.7119816      
  2362.7190187123474   0.79373056     
  2353.34304227384     0.7527728      
  2344.0414470707533   0.7304484      
  2334.8128316109633   0.85011774     
  2325.6568561815793   1.0            
  2316.5721547221065   0.9906478      
  2307.558406044947    0.94139814     
  2298.614278281401    0.81432104     
  2289.7392179333087   0.8099338      
  2280.932676141694    0.85515606     
  2272.1933701184566   0.82395947     
  2263.5210214269855   0.8294184      
  2254.914378601607    0.8097176      
  2246.3729383631157   0.7598999      
  2237.896201369169    0.798222       
  2229.4829611596297   0.85553175     
  2221.1329774411947   0.78134376     
  2212.8450725031457   0.69733953     
  2204.618788382238    0.7142782      
  2196.45367044062     0.6573687      
  2188.348582314813    0.66212046     
  2180.303317781908    0.7169021      
  2172.3167669153927   0.7280992      
  2164.3885127084363   0.70934        
  2156.518140946679    0.7483147      
  2148.7045797594196   0.6946286      
  2140.9476533872194   0.6257287      
  2133.246314313554    0.6572763      
  2125.6001826038973   0.8319998      
  2118.008880651326    0.95608145     
  2110.471396027469    0.8784675      
  2102.9875802363977   0.74657017     
  2095.556443324053    0.7602358      
  2088.177638961037    0.76051736     
  2080.850822739739    0.7518141      
  2073.575037113018    0.7568249      
  2066.3501580047187   0.7391515      
  2059.1752486418727   0.6958444      
  2052.050193991285    0.64292717     
  2044.9740774198176   0.651673       
  2037.9465945096044   0.680538       
  2030.9674422811738   0.6343554      
  2024.035733174794    0.5437577      
  2017.1513731121      0.45606884     
  2010.3134931913594   0.4709219      
  2003.5218156916455   0.5568688      
  1996.7760640369277   0.6231869      
  1990.0753962805084   0.62786454     
  1983.4197371426358   0.6044442      
  1976.8082619883269   0.6384248      
  1970.2407174050024   0.70256543     
  1963.7168508684347   0.71653867     
  1957.2358627723388   0.71663886     
  1950.7976947093587   0.745992       
  1944.4015631595896   0.7652743      
  1938.0472368702426   0.7062941      
  1931.73448525264     0.63265353     
  1925.462548060772    0.60899657     
  1919.2313820365457   0.58627975     
  1913.0402419031443   0.6038021      
  1906.8889166318945   0.68302006     
  1900.7771956622641   0.6902099      
  1894.7043553900567   0.6265931      
  1888.6703661629556   0.6199536      
  1882.6745183256596   0.65225834     
  1876.7167872722541   0.64401776     
  1870.796476913083    0.585055       
  1864.9134016373946   0.5634761      
  1859.0673760691634   0.54538107     
  1853.2577237776854   0.5184656      
  1847.4844318652724   0.50352484     
  1841.7468365658171   0.51400644     
  1836.0447685796978   0.47251534     
  1830.378058700517    0.42288768     
  1824.7460615271607   0.41706735     
  1819.1487746791458   0.44521505     
  1813.5855645939039   0.45915377     
  1808.0562769103465   0.4278842      
  1802.560757237247    0.34533787     
  1797.0983891898784   0.31825727     
  1791.6691798338113   0.34912017     
  1786.27252386443     0.37638882     
  1780.908280614796    0.31181312     
  1775.5763092804348   0.24493454     
  1770.2760206437883   0.1897707      
  1765.0074302521218   0.12795503     
  1759.7699592706135   0.106955014    
  1754.563479596876    0.1008333      
  1749.387862897639    0.08736789     
  1744.242545421458    0.06119354     
  1739.1275503282127   0.039681945    
  1734.042323607056    0.03266277     
  1728.9867486934606   0.026975116    
  1723.9607087110508   0.024261048    
  1718.9636638075358   0.02204131     
  1713.9956439714513   0.017214583    
  1709.0561184990083   0.011334733    
  1704.1451199080268   0.007857742    
  1694.9152268407267   0.0052446555   
  1680.6723227836649   0.004056663    
  1666.6666666666665   0.0031299035   
  1652.8925098736818   0.002542209    
  1639.344287924599    0.002187093    
  1626.0162349481313   0.0019538703   
  1612.9032754253042   0.0017259091   
  1600.0               0.0016359985   
  1587.3015392454379   0.0016657201   
  1574.8031732574698   0.0016421933   
  1562.4999767169359   0.0014908342   
  1550.3876427461978   0.0012331213   
  1538.4615384615386   9.1056473E-4   
  1526.7175127941593   7.67927E-4     
  1515.1515370448653   7.1035215E-4   
  1503.759376930877    6.4896495E-4   
  1492.5373559222253   6.059582E-4    
  1481.4814814814813   6.6077366E-4   
  1470.5881940452298   6.382144E-4    
  1459.8540349229972   4.9880217E-4   
  1449.2753422878743   3.7536724E-4   
  1438.8489603508865   3.4705296E-4   
  1428.5714285714287   3.4508112E-4   
  1418.4396779367519   3.2315473E-4   
  1408.4507231437083   3.0399903E-4   
  1398.6013799467103   2.8487536E-4   
  1388.8889256818804   2.7273412E-4   
  1379.310344827586    3.0645213E-4   
  1369.8629779067633   3.4043283E-4   
  1369.7601734877674   3.2034956E-4   
  1369.4465766806748   3.7135195E-4   
  1369.133123432213    4.1937668E-4   
  1368.8198136438273   4.5988223E-4   
  1368.5066472170524   4.89049E-4     
  1368.1936240535147   5.041465E-4    
  1367.8807440549278   5.0379586E-4   
  1367.5680071230977   4.8810197E-4   
  1367.2554131599195   4.5864302E-4   
  1366.942962067377    4.1831846E-4   
  1366.630653747545    3.7106982E-4   
  1366.3185771198034   3.215014E-4    
  1366.0065540113196   2.7443768E-4   
  1365.6946733823324   2.3445942E-4   
  1365.382935135274    2.0546353E-4   
  1365.071339172664    1.9028892E-4   
  1364.7598853971126   1.9044415E-4   
  1364.4485737113175   2.0596305E-4   
  1364.137404018066    2.3540214E-4   
  1363.826376220234    2.7598004E-4   
  1363.515490220785    3.2384525E-4   
  1363.2047459227729   3.744466E-4    
  1362.8941432293375   4.229707E-4    
  1362.5836820437094   4.6480427E-4   
  1362.2734507601122   4.959766E-4    
  1361.963272259845    5.1354035E-4   
  1361.6532349776287   5.1585323E-4   
  1361.343338817044    5.0273445E-4   
  1361.0335836817605   4.754802E-4    
  1360.723969475535    4.367374E-4    
  1360.5442353403548   3.5822496E-4   
  1360.4144961022116   3.9024767E-4   
  1360.1051634657222   3.4048638E-4   
  1359.7959714700858   2.922315E-4    
  1359.4869200194087   2.5010388E-4   
  1359.1780090178845   2.1812314E-4   
  1358.869238369794    1.9932174E-4   
  1358.560695988721    1.9545465E-4   
  1358.2522057207225   2.0683209E-4   
  1357.9438555195477   2.3229151E-4   
  1357.6356452898247   2.6931142E-4   
  1357.3275749362679   3.1425574E-4   
  1357.0196443636776   3.627254E-4    
  1356.7118534769415   4.0998298E-4   
  1356.404202181033    4.5140955E-4   
  1356.0966903810115   4.8294966E-4   
  1355.789317982023    5.0150184E-4   
  1355.4820848892991   5.0521665E-4   
  1355.174991008158    4.936744E-4    
  1354.8680362440018   4.6792452E-4   
  1354.5613079941293   4.3038357E-4   
  1354.2546311408848   3.8460203E-4   
  1353.9480931213768   3.3492144E-4   
  1353.6416938413508   2.86056E-4     
  1353.3354332066374   2.4263833E-4   
  1353.0293111231529   2.0877333E-4   
  1352.7233274968985   1.8764322E-4   
  1352.4174822339596   1.8120144E-4   
  1352.1117752405078   1.8998513E-4   
  1351.8062064227993   2.130641E-4    
  1351.5007756871742   2.4813085E-4   
  1351.3513339358235   3.3717396E-4   
  1351.1954829400581   2.9172344E-4   
  1350.89032808796     3.3955908E-4   
  1350.5853980164256   3.8694683E-4   
  1350.2805186349674   4.292391E-4    
  1349.9757768685897   4.6227907E-4   
  1349.6711726241397   4.8280042E-4   
  1349.366705808548    4.887412E-4    
  1349.06237632883     4.7944186E-4   
  1348.758184092084    4.5570795E-4   
  1348.4541290054929   4.1973198E-4   
  1348.150210976323    3.7488187E-4   
  1347.846429911924    3.2537634E-4   
  1347.5427857197292   2.758788E-4    
  1347.239278307255    2.3104841E-4   
  1346.935994091638    1.950922E-4    
  1346.6327599225417   1.7136062E-4   
  1346.3296622562425   1.6202593E-4   
  1346.0267010005894   1.678742E-4    
  1345.7238760635148   1.882308E-4    
  1345.4211873530335   2.210265E-4    
  1345.1186347772436   2.6299775E-4   
  1344.816218244326    3.1000198E-4   
  1344.5139376625425   3.5741704E-4   
  1344.2117929402398   4.0058684E-4   
  1343.9097839858448   4.352699E-4    
  1343.6079107078685   4.5804787E-4   
  1343.3061730149027   4.6665443E-4   
  1343.0046568208998   4.6019335E-4   
  1342.7031899854535   4.3922433E-4   
  1342.4018584613132   4.0570894E-4   
  1342.2819135597258   3.0569657E-4   
  1342.100662157399    3.6282133E-4   
  1341.799600982712    3.1464238E-4   
  1341.498674846337    2.657668E-4    
  1341.1978836574378   2.2086075E-4   
  1340.8972273252616   1.8421262E-4   
  1340.5967057591363   1.5932052E-4   
  1340.2963188684705   1.4855577E-4   
  1339.9960665627545   1.5293481E-4   
  1339.6959487515603   1.7202164E-4   
  1339.3959653445395   2.0396987E-4   
  1339.0962017568409   2.4570047E-4   
  1338.796486849177    2.9319793E-4   
  1338.4969060751548   3.4189623E-4   
  1338.1974593447492   3.8711805E-4   
  1337.8981465680167   4.2452378E-4   
  1337.5989676550937   4.505286E-4    
  1337.2999225161964   4.6264625E-4   
  1337.0010110616224   4.5972734E-4   
  1336.7022332017486   4.42069E-4     
  1336.4035888470326   4.113852E-4    
  1336.1050779080113   3.7064133E-4   
  1335.8067002953019   3.237681E-4    
  1335.5084559196025   2.7528312E-4   
  1335.2104297015865   2.2985629E-4   
  1334.9124514943762   1.9186074E-4   
  1334.6146062567695   1.6495265E-4   
  1334.3168938997824   1.5172019E-4   
  1334.0193143345095   1.5343558E-4   
  1333.7218674721246   1.6993364E-4   
  1333.4245532238813   1.9962875E-4   
  1333.3333333333333   3.069714E-4    
  1333.127371501112    2.3966831E-4   
  1332.8303222152285   2.862081E-4    
  1332.5334052777207   3.347824E-4    
  1332.236620600158    3.807343E-4    
  1331.9399680941885   4.1966332E-4   
  1331.6435322278508   4.4784867E-4   
  1331.3471437626908   4.626065E-4    
  1331.0508872045648   4.625474E-4    
  1330.754762465435    4.477091E-4    
  1330.4587694573422   4.195518E-4    
  1330.162908092405    3.8081667E-4   
  1329.86717828282     3.352614E-4    
  1329.5715799408629   2.872979E-4    
  1329.2761129788857   2.4156741E-4   
  1328.9807773093203   2.0249361E-4   
  1328.6855728446744   1.7385722E-4   
  1328.3904994975348   1.5843236E-4   
  1328.0955571805657   1.5772E-4      
  1327.8008298755187   1.7180399E-4   
  1327.5061493198812   1.9934334E-4   
  1327.211599532896    2.377016E-4    
  1326.917180427536    2.832005E-4    
  1326.6228919168532   3.3147374E-4   
  1326.328733913975    3.7788652E-4   
  1326.034706332106    4.1798074E-4   
  1325.7408090845288   4.4790286E-4   
  1325.4470420846021   4.647732E-4    
  1325.1534052457612   4.6696168E-4   
  1324.8598984815187   4.5424278E-4   
  1324.5665217054634   4.2781603E-4   
  1324.50327779749     3.1459847E-4   
  1324.2732748312606   3.9018897E-4   
  1323.9802413585617   3.4493487E-4   
  1323.687253992376    2.9634815E-4   
  1323.3943962695225   2.490308E-4    
  1323.1016681039712   2.074498E-4    
  1322.809069409769    1.7550797E-4   
  1322.5166001010389   1.5616941E-4   
  1322.224260091979    1.5117579E-4   
  1321.9320492968643   1.6088047E-4   
  1321.6399676300452   1.8421646E-4   
  1321.3480150059477   2.188009E-4    
  1321.0561913390727   2.6116622E-4   
  1320.7644965439983   3.070955E-4    
  1320.472930535376    3.520295E-4    
  1320.181576334895    3.9150642E-4   
  1319.890267606765    4.2159166E-4   
  1319.599087409521    4.392567E-4    
  1319.3080356581165   4.4267025E-4   
  1319.01711226758     4.3137406E-4   
  1318.7263171530153   4.06326E-4     
  1318.4356502296      3.6980727E-4   
  1318.1451114125873   3.2520172E-4   
  1317.8547006173044   2.7666954E-4   
  1317.5644177591546   2.2874614E-4   
  1317.2742627536136   1.8590527E-4   
  1316.9842355162327   1.5212828E-4   
  1316.6943359626387   1.3052097E-4   
  1316.4046466406467   1.230151E-4    
  1316.1150021654391   1.3018293E-4   
  1315.8254851213637   1.5118282E-4   
  1315.7894901951927   2.7290932E-4   
  1315.5360954243424   1.8384086E-4   
  1315.2468329903716   2.2486082E-4   
  1314.957697735521    2.7014193E-4   
  1314.6686895759342   3.1517385E-4   
  1314.3798084278294   3.5547104E-4   
  1314.0910542074967   3.8700446E-4   
  1313.802426831301    4.0658886E-4   
  1313.513926215681    4.1218917E-4   
  1313.2255522771477   4.0311555E-4   
  1312.9373871296887   3.800893E-4    
  1312.6492662590845   3.4517262E-4   
  1312.3612718155644   3.0156985E-4   
  1312.0734037159327   2.533184E-4    
  1311.7856618770672   2.049002E-4    
  1311.4980462159176   1.6081032E-4   
  1311.2105566495063   1.2512472E-4   
  1310.9231930949297   1.01108584E-4  
  1310.6359554693556   9.090291E-5    
  1310.3488436900248   9.53194E-5     
  1310.061857674251    1.1376345E-4   
  1309.7749973394198   1.4429251E-4   
  1309.4882626029892   1.8380405E-4   
  1309.201735112811    2.2833506E-4   
  1308.9152512900807   2.7344422E-4   
  1308.6288928185816   3.1463974E-4   
  1308.3426596160614   3.478119E-4    
  1308.0565516003385   3.696285E-4    
  1307.770568689303    3.7785526E-4   
  1307.4847108009176   3.7157038E-4   
  1307.1989778532163   3.512526E-4    
  1307.189526187803    2.2262917E-4   
  1306.9133697643044   3.1873453E-4   
  1306.62788645236     2.770255E-4    
  1306.3425278356308   2.3002159E-4   
  1306.0572938324376   1.8212994E-4   
  1305.7721843611707   1.3784454E-4   
  1305.4872806075048   1.0131368E-4   
  1305.2024199200903   7.5940676E-5   
  1304.9176835202272   6.405677E-5    
  1304.633071326592    6.6697066E-5   
  1304.3485832579308   8.3501436E-5   
  1304.0642192330617   1.1274954E-4   
  1303.7799791708735   1.5152681E-4   
  1303.495862990325    1.9600513E-4   
  1303.2118706104457   2.4181131E-4   
  1302.9280019503362   2.8444774E-4   
  1302.6442569291678   3.1972493E-4   
  1302.360635466181    3.4416394E-4   
  1302.0772183238967   3.5533056E-4   
  1301.7938437000942   3.5206863E-4   
  1301.5105923926417   3.346104E-4    
  1301.2274643210615   3.0455328E-4   
  1300.944459404945    2.6470528E-4   
  1300.6615775639548   2.1881433E-4   
  1300.3788187178227   1.7120702E-4   
  1300.09618278635     1.263723E-4    
  1299.813669689408    8.852952E-5    
  1299.5312793469377   6.122288E-5    
  1299.2490116789497   4.6980993E-5   
  1298.966866605524    4.707432E-5    
  1298.7013308711196   1.9397466E-4   
  1290.3225806451612   1.666316E-4    
  1282.0512507010424   1.5550168E-4   
  1273.8853657945447   1.6309084E-4   
  1265.8227695293333   1.8049897E-4   
  1257.8616653984998   2.1276581E-4   
  1250.0               2.6869972E-4   
  1242.235995411464    3.0615792E-4   
  1234.567843092561    3.392421E-4    
  1226.9939224614768   3.2321754E-4   
  1219.5122234882313   2.470294E-4    
  1212.121212121212    1.9099287E-4   
  1204.8192494215618   1.614024E-4    
  1197.6047357065925   1.20508594E-4  
  1190.4762445393628   8.645975E-5    
  1183.4319793753536   7.161496E-5    
  1176.470588235294    6.5782115E-5   
  1169.5906171834263   6.0400478E-5   
  1162.790646096578    4.9763556E-5   
  1156.0694151451426   3.7128462E-5   
  1149.4253125558023   2.6656917E-5   
  1142.8571428571427   1.7780092E-5   
  1136.3636117336184   1.2459518E-5   
  1129.943454119862    1.0415062E-5   
  1123.5955537772684   1.1067127E-5   
  1117.31845956554     1.2312052E-5   
  1111.111111111111    1.1052383E-5   
  1104.972352402569    7.6673605E-6   
  1098.9010528354413   4.8225224E-6   
  1092.896220426975    2.8613363E-6   
  1086.9565442739683   2.0997777E-6   
  1081.081081081081    2.262143E-6    
  1075.2687951514788   1.6904704E-6   
  1069.5186729423533   1.088969E-6    
  1063.8298304062632   8.92644E-7     
  1058.201079559348    7.2484147E-7   
  1052.6315789473683   3.7689577E-7   
  1047.1203979348309   3.006341E-7    
  1041.6666252745538   3.879447E-7    
  1036.2694710161068   3.9225048E-7   
  1030.9278553230808   3.1850058E-7   
  1025.6410256410256   3.8589374E-7   
  1020.4081434053666   4.275794E-7    
  1015.2283870782848   3.510098E-7    
  1010.1010490225224   3.1876047E-7   
  1005.0251448938023   4.330749E-7    
  1000.0               1.2777196E-8   
  995.0248567377184    1.5037248E-8   
  990.098972505665     1.3025608E-8   
  985.221711904656     1.2501462E-8   
  980.3921751955851    1.39134935E-8  
  975.609756097561     8.06784E-9     
  970.8737684291771    1.6806776E-8   
  966.1835392686212    7.3027433E-9   
  961.5384968074834    2.5074014E-9   
  956.9378165092252    4.5693933E-9   
  952.3809523809524    3.6153582E-9   
  947.8672814415795    2.6582085E-9   
  943.3961924644258    3.1194498E-9   
  938.9671697828685    4.2522155E-9   
  934.5794559118583    2.8324643E-9   
  930.2325581395348    2.3726947E-9   
  925.9259095734859    1.7749311E-9   
  921.6589537709688    1.5278151E-9   
  917.4312247680954    3.0350833E-9   
  913.2420250399172    3.1011747E-9   
  909.0909090909091    3.3122862E-9   
  904.97735994473      2.4290197E-9   
  900.9008699399631    1.1705975E-9   
  896.861017230971     5.5706635E-9   
  892.8571580624097    6.3010743E-9   
  888.8888888888889    1.6156557E-8   
  884.955737275052     3.019924E-8    
  881.057239110426     4.335975E-8    
  877.1930118089981    6.2448834E-8   
  873.3624599633773    1.193212E-7    
  869.5652173913043    1.5948126E-7   
  865.8008515031681    1.3393964E-7   
  862.0689371678274    9.3061246E-8   
  858.3691268190418    1.1495685E-7   
  854.700868634295     1.6561798E-7   
  851.063829787234     1.6791468E-7   
  847.4576134203634    1.18778416E-7  
  843.8818293742303    5.674181E-8    
  840.3361613918324    3.640625E-9    
  836.820097038558     4.342107E-8    
  833.3333333333333    3.3875246E-8   
  829.8755055364156    3.8651454E-8   
  826.4462549368409    9.357933E-8    
  823.0452933306059    7.488932E-8    
  819.6721439622995    1.1594106E-8   
  816.3265306122448    1.5605593E-8   
  813.0081174740657    1.9478172E-8   
  809.716574179566     2.437657E-8    
  806.4516377126521    2.8516629E-8   
  803.2128637108993    2.9851112E-8   
  800.0                3.7205556E-8   
  796.8127368940264    2.6520032E-8   
  793.6507696227189    1.5002414E-8   
  790.5138578306012    1.2224021E-8   
  787.4015866287349    2.6408971E-8   
  784.313725490196     4.149851E-8    
  781.2499883584679    3.423754E-8    
  778.2100936292926    3.1882884E-8   
  775.1938213730989    3.5456743E-8   
  772.2007835741784    3.482544E-8    
  769.2307692307693    1.8436971E-8   
  766.2835137044459    4.8475766E-9   
  760.4562958244148    3.0591896E-9   
  757.5757685224327    7.0321167E-9   
  754.7169811320755    6.0429306E-9   
  751.8796884654384    1.957233E-9    
  749.0636490078572    1.4779469E-9   
  746.2686779611126    1.7549407E-9   
  743.494434335339     1.0747979E-9   
  740.7407407407406    1.3782948E-9   
  738.0073696853333    1.0641003E-9   
  735.2940970226149    1.1541919E-9   
  724.6376711439372    1.6360124E-9   
  722.0216407632204    1.6981927E-9   
  711.7437625797617    1.5166656E-9   
  709.2198389683759    1.3110861E-9   
  701.7543859649122    1.2568498E-9   
  684.9314889533816    1.1463238E-9   
