# lambda               TRANSMISSION   
  2742.660449373988    0.536373       
  2741.403473316914    0.54325134     
  2740.147827904273    0.5496938      
  2738.8931533613495   0.55549634     
  2737.6396272876545   0.56050897     
  2736.3872481070293   0.56464225     
  2735.1360142461954   0.5678681      
  2733.885924134754    0.5702175      
  2732.637154239607    0.5717734      
  2732.5933584682425   0.5718032      
  2731.389346764665    0.57266116     
  2730.142678345328    0.57303613     
  2728.897147422635    0.57307047     
  2727.652752440468    0.5729396      
  2726.4094918455457   0.5728095      
  2725.1673640874187   0.57282555     
  2723.92654451969     0.57310396     
  2722.686677634088    0.5737257      
  2721.44793895107     0.574734       
  2720.2103269314443   0.57613397     
  2720.0586151547127   0.57635164     
  2718.9738400388173   0.5778964      
  2717.738476739588    0.5799624      
  2716.504411441445    0.5822507      
  2715.2712905796493   0.58466613     
  2714.039288727355    0.587108       
  2712.808404362066    0.5894786      
  2711.578635964046    0.5916911      
  2710.349982016316    0.5936754      
  2709.1226159882585   0.59538335     
  2707.8961862427536   0.5967915      
  2707.638168785441    0.59703827     
  2706.670866413275    0.59790176     
  2705.446654993797    0.59874105     
  2704.2235504810155   0.5993585      
  2703.0015513743483   0.59982187     
  2701.78065617592     0.6002125      
  2700.561037269935    0.60062015     
  2699.3423452482793   0.60113704     
  2698.12475265766     0.6018522      
  2696.9082580109857   0.602846       
  2695.692859823848    0.6041857      
  2695.3308095623975   0.6046725      
  2694.47855661451     0.605921       
  2693.2655198450834   0.60808104     
  2692.0534020011787   0.61067265     
  2690.842374706067    0.61367905     
  2689.632436488652    0.6170597      
  2688.4235858804795   0.6207516      
  2687.215821415737    0.6246716      
  2686.0093136417995   0.6287187      
  2684.8037169226263   0.6327787      
  2683.599201965424    0.6367287      
  2683.13465672951     0.6381762      
  2682.3957673148757   0.64044195     
  2681.1934115182726   0.64379424     
  2679.992133125509    0.6466694      
  2678.791930689079    0.6489655      
  2677.592973698354    0.65060025     
  2676.3949186894984   0.65151656     
  2675.1979353101874   0.65168613     
  2674.002022123245    0.65111244     
  2672.807177694065    0.64983225     
  2671.6134005906038   0.64791524     
  2671.04855001679     0.6468041      
  2670.420859403173    0.6454615      
  2669.229212513539    0.64259756     
  2668.038628669019    0.6394702      
  2666.8491064477626   0.6362393      
  2665.660644430457    0.6330682      
  2664.473241200316    0.63011473     
  2663.2868953430784   0.627521       
  2662.1017744091296   0.62540346     
  2660.9175389146844   0.623845       
  2659.73435656564     0.6228872      
  2659.0706695395734   0.62263304     
  2658.5522259577715   0.62252593     
  2657.371145689349    0.62270904     
  2656.1911143611314   0.6233369      
  2655.0122986397623   0.6242665      
  2653.834360855072    0.62531745     
  2652.65746782795     0.62628204     
  2651.4816181690576   0.6269363      
  2650.3068104915224   0.6270532      
  2649.133043410927    0.6264167      
  2647.9604827171233   0.6248352      
  2647.199902248783    0.62317836     
  2646.788792539045    0.62215453     
  2645.618138819538    0.61826915     
  2644.448520183958    0.61313003     
  2643.2799352600905   0.6067506      
  2642.1123826781454   0.5992079      
  2640.945861070752    0.5906405      
  2639.78053521353     0.58124304     
  2638.616071316233    0.5712568      
  2637.4526343060306   0.56095743     
  2636.2902228251746   0.55064094     
  2635.434486552907    0.5432252      
  2635.128835518309    0.54060805     
  2633.9684710324655   0.53114825     
  2632.8092932812933   0.5225245      
  2631.6509702427275   0.5149595      
  2630.493665980743    0.5086244      
  2629.3373791518684   0.50363034     
  2628.1821084149933   0.5000239      
  2627.027852431362    0.49778587     
  2625.8747742593773   0.49683392     
  2624.7225436311287   0.497029       
  2623.7733544412717   0.49793336     
  2623.5713237541345   0.4981845      
  2622.4211132990126   0.50007784     
  2621.2719109387112   0.5024638      
  2620.123715348502    0.50508857     
  2618.9765252059783   0.5077037      
  2617.8305025801615   0.51007915     
  2616.6853192321228   0.5120143      
  2615.541137378606    0.51334774     
  2614.3979557064326   0.51396257     
  2613.25577290472     0.5137906      
  2612.2148001697756   0.5129226      
  2612.114587664875    0.5128123      
  2610.9745612150095   0.5110544      
  2609.8353670404545   0.5085846      
  2608.6971665158617   0.50550485     
  2607.559958341747    0.5019425      
  2606.4237412208913   0.49804077     
  2605.2885138583356   0.49394912     
  2604.1544366477933   0.48981392     
  2603.0211847852834   0.48577017     
  2601.88891880989     0.48193434     
  2600.757798700559    0.47839984     
  2600.7576374356454   0.4783993      
  2599.627339378816    0.475231       
  2598.4980233578995   0.47246698     
  2597.36968809362     0.47011718     
  2596.2424930143607   0.46816602     
  2595.116115294991    0.46657613     
  2593.990714507917    0.46529323     
  2592.866289382717    0.4642514      
  2591.7428386511706   0.4633787      
  2590.6203610472558   0.46260282     
  2589.4990151788343   0.46181804     
  2589.4006978157513   0.4616656      
  2578.142513494467    0.4485759      
  2566.9816448410497   0.42857137     
  2555.917146998825    0.37074867     
  2544.9474683005897   0.27640697     
  2534.0717012979803   0.21952645     
  2523.2883415623032   0.2006921      
  2512.5965173886757   0.18388689     
  2501.9947696947715   0.13550137     
  2491.4821129420916   0.104038075    
  2481.057722350604    0.07942622     
  2470.719908765531    0.049716227    
  2460.4678867684875   0.030489402    
  2450.3005928199364   0.025732413    
  2440.2172648275796   0.022301065    
  2430.216303703801    0.020453172    
  2420.296983653735    0.015972389    
  2410.4583090475517   0.01724434     
  2400.699575197408    0.018684506    
  2380.9524890787256   0.013389429    
  2352.941176470588    0.008638177    
  2325.581292193156    0.005331736    
  2298.8506251116046   0.00353863     
  2272.727223467237    0.0032212785   
  2247.1911075545368   0.002907006    
  2222.222222222222    0.002384505    
  2197.8021056708826   0.0018727332   
  2173.9130885479367   0.0011506282   
  2150.5375903029576   5.547321E-4    
  2127.6596608125265   6.408931E-4    
  2105.2631578947367   8.935367E-4    
  2083.3332505491076   6.53846E-4     
  2061.8557106461617   3.414457E-4    
  2040.8162868107331   2.348342E-4    
  2020.2020980450447   2.960462E-4    
  2000.0               4.21705E-4     
  1980.19794501133     3.186743E-4    
  1960.7843503911702   7.017508E-5    
  1941.7475368583541   8.8307104E-5   
  1923.0769936149668   2.5821547E-4   
  1904.7619047619048   2.009463E-4    
  1886.7923849288516   1.4761032E-4   
  1869.1589118237166   2.3647818E-4   
  1851.8518191469718   3.0486748E-4   
  1834.8624495361908   2.3160073E-4   
  1818.1818181818182   1.5754157E-4   
  1801.8017398799261   2.9103315E-4   
  1785.7143161248193   2.771281E-4    
  1769.911474550104    1.4299259E-4   
  1754.3860236179962   4.746536E-5    
  1739.1304347826085   2.6664346E-5   
  1724.1378743356547   1.33387775E-5  
  1709.40173726859     6.104007E-6    
  1694.9152268407267   4.3408323E-5   
  1680.6723227836649   5.2050484E-5   
  1666.6666666666665   7.2624825E-5   
  1652.8925098736818   5.9719532E-5   
  1639.344287924599    5.2157236E-5   
  1626.0162349481313   4.1700296E-5   
  1612.9032754253042   4.6116565E-5   
  1600.0               4.9045593E-5   
  1587.3015392454379   5.8872538E-5   
  1574.8031732574698   6.518517E-5    
  1562.4999767169359   4.7951442E-5   
  1550.3876427461978   4.3097967E-5   
  1538.4615384615386   4.4415865E-5   
  1526.7175127941593   5.081208E-5    
  1515.1515370448653   3.5913563E-5   
  1503.759376930877    2.6742286E-5   
  1492.5373559222253   3.142162E-5    
  1481.4814814814813   2.8760312E-5   
  1470.5881940452298   1.9270934E-5   
  1459.8540349229972   1.2061257E-5   
  1449.2753422878743   9.761939E-6    
  1438.8489603508865   9.449959E-6    
  1428.5714285714287   7.6154247E-6   
  1418.4396779367519   6.4782557E-6   
  1408.4507231437083   5.619758E-6    
  1398.6013799467103   4.364087E-6    
  1388.8889256818804   3.2965381E-6   
  1379.310344827586    5.1653E-6      
  1369.8629779067633   8.031678E-6    
  1360.5442353403548   6.6199405E-6   
  1351.3513339358235   5.2121213E-6   
  1342.2819135597258   5.4575185E-6   
  1333.3333333333333   5.961858E-6    
  1324.50327779749     5.7689526E-6   
  1315.7894901951927   5.123173E-6    
  1307.189526187803    6.122465E-6    
  1298.7013308711196   6.7101882E-6   
  1290.3225806451612   5.507105E-6    
  1282.0512507010424   4.3211844E-6   
  1273.8853657945447   4.2062698E-6   
  1265.8227695293333   5.002445E-6    
  1257.8616653984998   5.807611E-6    
  1250.0               5.9147005E-6   
  1242.235995411464    6.441606E-6    
