# WAVENUMBER    TRANSMISSION    UNCERTAINTY     FLAG    lambda              
  2.8157861     1.4253635E-7    1.5180687E-8    false   3551.4060948515707  
  2.832647      1.4468796E-7    1.5413866E-8    false   3530.2668137813175  
  2.8495083     1.4688723E-7    1.5652319E-8    false   3509.3774076064806  
  2.8663692     1.4913543E-7    1.5896138E-8    false   3488.7340523009334  
  2.8832302     1.5143395E-7    1.6145606E-8    false   3468.3321392683324  
  2.9000912     1.5378397E-7    1.6400666E-8    false   3448.1674573145506  
  2.9169521     1.5618681E-7    1.6661698E-8    false   3428.235892613921   
  2.933813      1.5864411E-7    1.6928732E-8    false   3408.533425911298   
  2.950674      1.6115689E-7    1.720193E-8     false   3389.0561298200455  
  2.9675353     1.6372702E-7    1.748152E-8     false   3369.799895474681   
  2.9843962     1.6635565E-7    1.776756E-8     false   3350.761516009831   
  3.0012572     1.6904468E-7    1.8060401E-8    false   3331.93705049616    
  3.0181181     1.7179549E-7    1.8360073E-8    false   3313.322913790727   
  3.034979      1.7460978E-7    1.8666816E-8    false   3294.9156004202796  
  3.05184       1.7748926E-7    1.898082E-8     false   3276.711682380436   
  3.068701      1.8043579E-7    1.9302318E-8    false   3258.707807007423   
  3.0855622     1.8345116E-7    1.963152E-8     false   3240.900444498155   
  3.1024232     1.8653716E-7    1.996861E-8     false   3223.286890319205   
  3.1192842     1.8969574E-7    2.031379E-8     false   3205.8637525637787  
  3.136145      1.9292892E-7    2.0667393E-8    false   3188.6279600053094  
  3.153006      1.9623864E-7    2.1029477E-8    false   3171.576507111786   
  3.169867      1.996273E-7     2.1400457E-8    false   3154.7064522985643  
  3.186728      2.0309685E-7    2.1780503E-8    false   3138.014916236636   
  3.2035892     2.066496E-7     2.2169909E-8    false   3121.4988479050894  
  3.2204502     2.10288E-7      2.2568937E-8    false   3105.1559546674166  
  3.2373111     2.1401445E-7    2.2977908E-8    false   3088.983299562455   
  3.254172      2.1783117E-7    2.3397035E-8    false   3072.9782364068483  
  3.271033      2.2174072E-7    2.382657E-8     false   3057.1381735776135  
  3.287894      2.2574625E-7    2.4266916E-8    false   3041.4605726131613  
  3.304755      2.2984992E-7    2.4718348E-8    false   3025.9429468571398  
  3.321616      2.3405477E-7    2.5181286E-8    false   3010.582860143583   
  3.3384771     2.3836394E-7    2.5656046E-8    false   2995.377711605883   
  3.355338      2.4278006E-7    2.6142777E-8    false   2980.3255922488156  
  3.372199      2.473066E-7     2.6642144E-8    false   2965.4239937873426  
  3.38906       2.519463E-7     2.7154313E-8    false   2950.670669645357   
  3.405921      2.56703E-7      2.767974E-8     false   2936.0634177333213  
  3.422782      2.615797E-7     2.8218777E-8    false   2921.600079352541   
  3.439643      2.6658014E-7    2.8771863E-8    false   2907.2785381316635  
  3.456504      2.7170813E-7    2.933955E-8     false   2893.0965194377645  
  3.473365      2.7696717E-7    2.9922056E-8    false   2879.052389532953   
  3.490226      2.8236127E-7    3.0520017E-8    false   2865.14395143571    
  3.507087      2.8789452E-7    3.1133958E-8    false   2851.369248056515   
  3.523948      2.9357102E-7    3.1764188E-8    false   2837.726359762035   
  3.540809      2.9939528E-7    3.241125E-8     false   2824.213403483308   
  3.5576699     3.0537163E-7    3.307587E-8     false   2810.8285318492917  
  3.574531      3.1150458E-7    3.375834E-8     false   2797.569745749089   
  3.591392      3.1779913E-7    3.4459493E-8    false   2784.435641645074   
  3.608253      3.2426013E-7    3.5179532E-8    false   2771.424285934224   
  3.625114      3.3089282E-7    3.59195E-8      false   2758.5339658516405  
  3.641975      3.3770255E-7    3.667975E-8     false   2745.763000350233   
  3.658836      3.446947E-7     3.7461124E-8    false   2733.109739369893   
  3.6756968     3.5187475E-7    3.826404E-8     false   2720.572563126784   
  3.692558      3.5924916E-7    3.908964E-8     false   2708.149706564127   
  3.709419      3.6682331E-7    3.9938083E-8    false   2695.8399596977356  
  3.72628       3.7460416E-7    4.0810548E-8    false   2683.6416130345146  
  3.743141      3.825979E-7     4.170783E-8     false   2671.553161169286   
  3.760002      3.908113E-7     4.263038E-8     false   2659.5731256996014  
  3.7768629     3.992515E-7     4.3579487E-8    false   2647.7000546230047  
  3.7937238     4.0792602E-7    4.4555744E-8    false   2635.932521750366   
