# WAVENUMBER   TRANSMISSION   UNCERTAINTY     FLAG    lambda              
  10.984533    0.76007706     0.002385983     true    910.3709477537911   
  10.986205    0.7536964      0.002385983     true    910.2324149289518   
  10.987877    0.747494       0.002385983     true    910.0939242592884   
  10.989549    0.7415632      0.002385983     true    909.9554757255621   
  10.99122     0.7359891      0.002385983     true    909.8170693085457   
  10.992892    0.7308474      0.002385983     true    909.6787049890245   
  10.99423     0.72708803     0.002371772     false   909.5679964914124   
  10.994564    0.72620445     0.0022511005    true    909.5403827477942   
  10.996236    0.72211635     0.0022511005    true    909.4021025656635   
  10.997907    0.7186296      0.0022511005    true    909.263943269511    
  10.999578    0.7157805      0.0022511005    true    909.1257471240849   
  11.00125     0.7135958      0.0022511005    true    908.9875929802636   
  11.002922    0.71209216     0.0022511005    true    908.849480818902    
  11.004594    0.7112764      0.0022511005    true    908.7114106208662   
  11.006266    0.71114516     0.0022511005    true    908.5733823670342   
  11.007937    0.71168476     0.0022511005    true    908.4353960382958   
  11.009608    0.71287096     0.0022511005    true    908.2975302940964   
  11.011093    0.7144367      0.002162382     false   908.1750443098405   
  11.01128     0.71466875     0.0018483149    true    908.1596277343714   
  11.012952    0.7170327      0.0018483149    true    908.021767042489    
  11.014624    0.719907       0.0018483149    true    907.8839481993858   
  11.016295    0.7232264      0.0018483149    true    907.7461711860088   
  11.017967    0.72691756     0.0018483149    true    907.6084359833176   
  11.019639    0.7309001      0.0018483149    true    907.4707425722823   
  11.021311    0.73508936     0.0018483149    true    907.3330909338857   
  11.022982    0.7393982      0.0018483149    true    907.1955595368715   
  11.024653    0.7437402      0.0018483149    true    907.0579913629424   
  11.026325    0.74803233     0.0018483149    true    906.9204649046786   
  11.027955    0.7520955      0.0018830316    false   906.7864304770925   
  11.027997    0.7521976      0.002130427     true    906.7829801431083   
  11.029669    0.7561681      0.002130427     true    906.6455370592712   
  11.031341    0.7598871      0.002130427     true    906.5081356342188   
  11.033012    0.7633107      0.002130427     true    906.370775849014    
  11.034684    0.766409       0.002130427     true    906.2334576847306   
  11.036355    0.76916647     0.002130427     true    906.0962594201042   
  11.038027    0.7715816      0.002130427     true    905.9590244172172   
  11.039699    0.7736652      0.002130427     true    905.8218309785544   
  11.04137     0.77543885     0.002130427     true    905.6846790852358   
  11.043042    0.77693224     0.002130427     true    905.5475687183929   
  11.044714    0.77817994     0.0021697755    true    905.4104998591687   
  11.044817    0.77825016     0.0021697755    false   905.4020565859017   
  11.046386    0.7792185      0.0022886477    true    905.2734724887173   
  11.048058    0.78008324     0.0022886477    true    905.1364865882047   
  11.049728    0.7808051      0.0022886477    true    904.9996202470467   
  11.0514      0.7814086      0.0022886477    true    904.8627172063248   
  11.053072    0.7819096      0.0022886477    true    904.725855579118    
  11.054744    0.7823146      0.0022886477    true    904.5890353466377   
  11.056416    0.78262043     0.0022886477    true    904.4522564901066   
  11.058087    0.782815       0.0022886477    true    904.3155189907587   
  11.059759    0.78287864     0.0022886477    true    904.1788228298392   
  11.061431    0.7827866      0.0022859871    true    904.042167988605    
  11.06168     0.7827585      0.0022859871    false   904.0218253071899   
  11.063102    0.7825116      0.0022156334    true    903.9056323678377   
  11.064774    0.78202665     0.0022156334    true    903.7690600862452   
  11.066445    0.7813086      0.0022156334    true    903.6325290681866   
  11.068117    0.78034055     0.0022156334    true    903.4960392949639   
  11.069789    0.779115       0.0022156334    true    903.3595907478905   
  11.071461    0.7776352      0.0022156334    true    903.2231834082907   
  11.0731325   0.7759169      0.0022156334    true    903.0868172575005   
  11.074803    0.7739882      0.0022156334    true    902.950570031809    
  11.076475    0.7718895      0.0022156334    true    902.8142861792206   
  11.078147    0.7696719      0.002166094     true    902.6780434595278   
  11.078542    0.76913536     0.002166094     false   902.6458734856815   
  11.079819    0.76739544     0.0019630063    true    902.5418418541109   
  11.0814905   0.76512575     0.0019630063    true    902.4056813443623   
  11.083162    0.76293176     0.0019630063    true    902.269561911685    
  11.084834    0.7608818      0.0019630063    true    902.1334835374937   
  11.086506    0.75904053     0.0019630063    true    901.9974462032143   
  11.088177    0.7574661      0.0019630063    true    901.8615274577795   
  11.0898485   0.756207       0.0019630063    true    901.7255721242608   
  11.09152     0.75530064     0.0019630063    true    901.5896577750087   
  11.093192    0.75477153     0.0019630063    true    901.453784391494    
  11.094864    0.75463104     0.0019630063    true    901.317951955198    
  11.095405    0.7546741      0.0019643474    false   901.2740263228579   
  11.096536    0.75487727     0.0020021868    true    901.182160447614    
  11.098207    0.7554961      0.0020021868    true    901.0464098502455   
  11.099879    0.75646234     0.0020021868    true    900.9107001446077   
  11.10155     0.75774217     0.0020021868    true    900.7751086929537   
  11.103222    0.7592948      0.0020021868    true    900.6394806920671   
  11.104894    0.7610752      0.0020021868    true    900.5038935275337   
  11.106565    0.76303625     0.0020021868    true    900.3683471809136   
  11.108237    0.76513106     0.0020021868    true    900.2328416337771   
  11.109909    0.76731473     0.0020021868    true    900.0973768677062   
  11.111581    0.76954615     0.0020021868    true    899.9619528642936   
  11.112267    0.7704502      0.0020018572    false   899.9064199485482   
  11.113253    0.7717888      0.0022064163    true    899.8265696051433   
  11.1149235   0.7740117      0.0022064163    true    899.6913042665014   
  11.116595    0.7761897      0.0022064163    true    899.5560024175155   
  11.118267    0.7783033      0.0022064163    true    899.4207412576807   
  11.119939    0.7803386      0.0022064163    true    899.2855207686451   
  11.121611    0.7822863      0.0022064163    true    899.1503409320679   
  11.123282    0.7841415      0.0022064163    true    899.0152017296193   
  11.124954    0.78590286     0.0022064163    true    898.8801031429806   
  11.126625    0.7875719      0.0022064163    true    898.745122186193    
  11.128297    0.7891524      0.0022064163    true    898.6101047531185   
  11.129129    0.78990453     0.0021936588    false   898.5428807399104   
  11.129969    0.7906497      0.0022460413    true    898.4751278809742   
  11.13164     0.79207075     0.0022460413    true    898.3401915514851   
  11.133312    0.79342306     0.0022460413    true    898.2052957463875   
  11.134984    0.7947148      0.0022460413    true    898.0704404474285   
  11.136656    0.79595405     0.0022460413    true    897.9356256363662   
  11.138328    0.7971488      0.0022460413    true    897.8008512949699   
  11.139998    0.79830617     0.0022460413    true    897.6661942525277   
  11.14167     0.79943174     0.0022460413    true    897.5315007727542   
